Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC,RecordType,TickNo,DateRaw,TimeRaw,hDOP,pDOP,hAcc,sAcc,VelN_mps,VelE_mps,VelD_mps,Source
1118860154,<nil>,21.0393958,105.8055252,0.00,<nil>,5,<nil>,true,1864766,<nil>,12,1118860154,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1118889026,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864815,<nil>,1305,1118889026,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1118978307,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1864963,<nil>,20313,1118978307,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119088121,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1865146,<nil>,20312,1119088121,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119176217,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1865293,<nil>,20313,1119176217,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119275120,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1865458,<nil>,20301,1119275120,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119310069,<nil>,21.0393955,105.8055253,0.00,<nil>,5,<nil>,true,1865516,<nil>,12,1119310069,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1119310219,<nil>,21.0393955,105.8055253,0.00,<nil>,5,<nil>,true,1865517,<nil>,12,1119310219,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1119369569,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1865615,<nil>,20301,1119369569,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119464133,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1865773,<nil>,20301,1119464133,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119579556,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1865965,<nil>,1000,1119579556,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119644243,<nil>,21.0393949,105.8055262,22.28,8,3,<nil>,true,1866073,2025-12-10T09:46:04Z,2096,1119644243,20251210,94604,149.000,239.000,3.000,1288.000,0.030,-0.040,0.230,v3
1119673021,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1866121,<nil>,20300,1119673021,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119760222,<nil>,21.0393952,105.8055254,0.00,<nil>,5,<nil>,true,1866267,<nil>,12,1119760222,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1119771730,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1866286,<nil>,10088,1119771730,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119857515,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1866429,<nil>,20300,1119857515,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1119973405,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1866622,<nil>,2064,1119973405,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120066931,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1866778,<nil>,20312,1120066931,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120165889,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1866943,<nil>,20312,1120165889,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120210059,<nil>,21.0393950,105.8055254,0.00,<nil>,5,<nil>,true,1867016,<nil>,12,1120210059,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1120210197,<nil>,21.0393950,105.8055254,0.00,<nil>,5,<nil>,true,1867016,<nil>,12,1120210197,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1120278216,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1867130,<nil>,20300,1120278216,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120390869,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1867318,<nil>,52703,1120390869,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120483014,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1867471,<nil>,20300,1120483014,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120521951,<nil>,21.0393946,105.8055263,22.30,8,3,<nil>,true,1867536,2025-12-10T09:46:04Z,2096,1120521951,20251210,94604,149.000,239.000,3.000,1292.000,-0.030,-0.020,0.210,v3
1120589303,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1867648,<nil>,20313,1120589303,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120660352,<nil>,21.0393947,105.8055255,0.00,<nil>,5,<nil>,true,1867767,<nil>,12,1120660352,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1120660494,<nil>,21.0393947,105.8055255,0.00,<nil>,5,<nil>,true,1867767,<nil>,12,1120660494,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1120701400,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1867835,<nil>,106,1120701400,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120864168,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1868106,<nil>,20900,1120864168,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1120955691,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1868259,<nil>,20312,1120955691,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1121069187,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1868448,<nil>,20324,1121069187,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1121110174,<nil>,21.0393944,105.8055256,0.00,<nil>,5,<nil>,true,1868516,<nil>,12,1121110174,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1121110305,<nil>,21.0393944,105.8055256,0.00,<nil>,5,<nil>,true,1868517,<nil>,12,1121110305,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1121341736,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1868902,<nil>,1307,1121341736,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1121432760,<nil>,21.0393943,105.8055264,22.25,8,3,<nil>,true,1869054,2025-12-10T09:46:04Z,2096,1121432760,20251210,94604,149.000,239.000,3.000,1297.000,-0.100,0.040,0.240,v3
1121432697,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1869054,<nil>,20312,1121432697,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1121555694,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1869259,<nil>,1305,1121555694,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1121560066,<nil>,21.0393942,105.8055257,0.00,<nil>,5,<nil>,true,1869266,<nil>,12,1121560066,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1121801506,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1869669,<nil>,20300,1121801506,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
